,Response,cluster
0,1,1
1,0,0
2,0,0
3,0,1
4,0,1
5,0,0
6,0,0
7,0,0
8,0,1
9,1,1
10,1,0
11,1,1
12,1,1
13,0,1
14,1,1
15,1,1
16,0,1
17,0,1
18,1,1
19,0,1
20,1,0
21,1,1
22,0,0
23,0,1
24,0,0
25,0,0
26,1,1
27,1,1
28,1,1
29,0,0
30,0,0
31,0,1
32,1,1
33,1,1
34,1,1
35,0,0
36,0,1
37,0,0
38,0,1
39,0,0
40,1,1
41,0,0
42,0,1
43,0,1
44,1,1
45,0,1
46,0,1
47,0,0
48,1,1
49,0,1
50,0,1
51,0,0
52,0,0
53,0,0
54,0,0
55,1,1
56,0,1
57,0,0
58,0,1
59,0,1
60,1,1
61,0,1
62,0,0
63,0,1
64,0,0
65,0,0
66,1,1
67,0,1
68,1,1
69,0,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,1,0
76,0,1
77,0,1
78,0,1
79,0,0
80,0,0
81,1,1
82,0,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,0
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,0
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
