patient,0
S100A7,24.01667723344217
HLA-DQA1,16.679400925596692
MAGEA3,10.683405322031414
S100A8,10.390855252710175
DMBT1,9.297852793667817
MAGEC2,9.070613895581495
HLA-DQB1,8.474461133212914
C7,8.393124359056849
SPINK5,8.221679492229963
MS4A1,7.6149019195784495
CHIT1,7.609541981871938
PLA2G1B,7.199086106109349
CD24,7.064651763021068
MME,6.4762370455660765
PRAME,6.28156720005926
MAGEC1,6.134843551659643
LCN2,5.558668155050005
EPCAM,5.537201129431448
CTAG1B,5.522624136883581
KIT,5.396775520873114
CDH1,5.392744280456285
CXCL13,5.322220792113248
MAGEB2,5.0279702257606
ARG1,5.0253010596849395
CT45A1,4.896070567299955
TREM1,4.783369693513275
TPSAB1,4.725231848655491
TPTE,4.641367759915118
CD22,4.634478816098137
CCL21,4.559606624512813
CD19,4.472549514394434
CEACAM6,4.452930468634321
CXCL6,4.42005228448317
SPP1,4.408286904547993
IL13RA2,4.394229240016645
CXCL14,4.377828030354886
ABCB1,4.335063139097495
USP9Y,4.206455465861801
PASD1,4.066827494946215
CR2,4.003777927555398
ITGB3,3.987781620308665
PAX5,3.926126917056249
S100B,3.918060618307233
CCL19,3.857860587585708
SSX1,3.8528085778575836
BLK,3.6374941534675975
CXCL9,3.6326598275902247
SAA1,3.621029753681771
CCL27,3.5770871306387892
MARCO,3.553522598286556
CD79B,3.538963370421706
LTB,3.504908285448496
CCL25,3.480499315637369
CTSG,3.444521483994715
CXCL2,3.4028447900850485
MAGEA12,3.3956821896230065
CD79A,3.38363070323611
FCER2,3.3739687974045602
IL1B,3.358320496283031
C3,3.2273503604693468
POU2AF1,3.2064951739807177
CCL18,3.1869521029066674
SERPINB2,3.153991899428425
CXCL10,3.081380455626821
CXCL1,3.0788940554964364
SELL,3.065614746057143
TNFRSF13B,3.0495058046469388
MUC1,3.029015705849513
CCR7,3.0286917313259143
C4B,2.9647270383366062
NCAM1,2.929533952518298
ITGB4,2.92303723813454
CD27,2.917531535340523
C4BPA,2.864704262448386
CD8A,2.861050037589443
IFI27,2.8294610897164874
CXCL11,2.7686705264606135
BTLA,2.7357839407373947
MX1,2.727695991271462
IDO1,2.7269543298449404
CD3E,2.7098027936335476
CD3D,2.6919274803089266
CD48,2.6735340049896603
CTCFL,2.6720321009671406
CMA1,2.671625815760344
CTLA4,2.6648976567928586
IL22RA1,2.642956988413686
LIF,2.6427466658202223
ZAP70,2.632495257593972
LAMP3,2.6224316591518773
CCL24,2.610217059848813
CXCL5,2.6095798959702203
SLC11A1,2.599534127284836
TCF7,2.5856350630282394
MAGEA1,2.5674363070838475
MAGEA4,2.544542751635383
LTK,2.5121053123201356
IL1A,2.496701971826365
FCER1A,2.4939166126904326
CD38,2.493073530056902
